arm_length_cm,level,transition_distance_cm
40.0,1,61
40.0,2,52
40.0,3,43
40.0,4,33
40.0,5,24
40.0,6,15
40.0,7,6
42.0,1,64
42.0,2,54
42.0,3,45
42.0,4,35
42.0,5,25
42.0,6,16
42.0,7,6
44.0,1,67
44.0,2,57
44.0,3,47
44.0,4,37
44.0,5,27
44.0,6,16
44.0,7,6
46.0,1,70
46.0,2,60
46.0,3,49
46.0,4,38
46.0,5,28
46.0,6,17
46.0,7,7
48.0,1,73
48.0,2,62
48.0,3,51
48.0,4,40
48.0,5,29
48.0,6,18
48.0,7,7
50.0,1,76
50.0,2,65
50.0,3,53
50.0,4,42
50.0,5,30
50.0,6,19
50.0,7,7
52.0,1,79
52.0,2,67
52.0,3,55
52.0,4,43
52.0,5,31
52.0,6,19
52.0,7,7
54.0,1,83
54.0,2,70
54.0,3,58
54.0,4,45
54.0,5,33
54.0,6,20
54.0,7,8
56.0,1,86
56.0,2,73
56.0,3,60
56.0,4,47
56.0,5,34
56.0,6,21
56.0,7,8
58.0,1,89
58.0,2,75
58.0,3,62
58.0,4,49
58.0,5,35
58.0,6,22
58.0,7,8
60.0,1,92
60.0,2,78
60.0,3,64
60.0,4,50
60.0,5,36
60.0,6,23
60.0,7,9
62.0,1,95
62.0,2,81
62.0,3,66
62.0,4,52
62.0,5,38
62.0,6,23
62.0,7,9
64.0,1,98
64.0,2,83
64.0,3,68
64.0,4,54
64.0,5,39
64.0,6,24
64.0,7,9
66.0,1,101
66.0,2,86
66.0,3,71
66.0,4,55
66.0,5,40
66.0,6,25
66.0,7,10
68.0,1,104
68.0,2,88
68.0,3,73
68.0,4,57
68.0,5,41
68.0,6,26
68.0,7,10
70.0,1,107
70.0,2,91
70.0,3,75
70.0,4,59
70.0,5,43
70.0,6,26
70.0,7,10
72.0,1,110
72.0,2,94
72.0,3,77
72.0,4,60
72.0,5,44
72.0,6,27
72.0,7,11
74.0,1,113
74.0,2,96
74.0,3,79
74.0,4,62
74.0,5,45
74.0,6,28
74.0,7,11
76.0,1,116
76.0,2,99
76.0,3,81
76.0,4,64
76.0,5,46
76.0,6,29
76.0,7,11
78.0,1,120
78.0,2,102
78.0,3,83
78.0,4,65
78.0,5,47
78.0,6,30
78.0,7,11
80.0,1,123
80.0,2,104
80.0,3,86
80.0,4,67
80.0,5,49
80.0,6,30
80.0,7,12
82.0,1,126
82.0,2,107
82.0,3,88
82.0,4,69
82.0,5,50
82.0,6,31
82.0,7,12
84.0,1,129
84.0,2,109
84.0,3,90
84.0,4,71
84.0,5,51
84.0,6,32
84.0,7,12
86.0,1,132
86.0,2,112
86.0,3,92
86.0,4,72
86.0,5,52
86.0,6,33
86.0,7,13
88.0,1,135
88.0,2,115
88.0,3,94
88.0,4,74
88.0,5,54
88.0,6,33
88.0,7,13
90.0,1,138
90.0,2,117
90.0,3,96
90.0,4,76
90.0,5,55
90.0,6,34
90.0,7,13
